import time: self [us] | cumulative | imported package
import time:      1441 |       2472 |     email.parser
import time:     17052 |      17052 |     airflow.models
import time:     20684 |      20684 |         sqlalchemy.util.preloaded
import time:     17757 |      17757 |             sqlalchemy.cyextension
import time:     16767 |      16767 |             sqlalchemy.cyextension.collections
import time:      3788 |       3788 |             sqlalchemy.cyextension.immutabledict
import time:      4810 |       4810 |             sqlalchemy.cyextension.processors
import time:      4078 |       4078 |             sqlalchemy.cyextension.resultproxy
import time:      2437 |       2437 |                     _hashlib
import time:        74 |         74 |                     _blake2
import time:      3180 |       5690 |                   hashlib
import time:     10249 |      15938 |                 sqlalchemy.util.compat
import time:     12400 |      28338 |               sqlalchemy.exc
import time:      5264 |      33602 |             sqlalchemy.cyextension.util
import time:     19816 |     100615 |           sqlalchemy.util._has_cy
import time:     11140 |      11140 |           sqlalchemy.util.typing
import time:     18211 |     129965 |         sqlalchemy.util._collections
import time:     12792 |      12792 |             sqlalchemy.util.langhelpers
import time:     11165 |      23957 |           sqlalchemy.util._concurrency_py3k
import time:     10118 |      34075 |         sqlalchemy.util.concurrency
import time:     10633 |      10633 |         sqlalchemy.util.deprecations
import time:     29938 |     225292 |       sqlalchemy.util
import time:     10095 |      10095 |                         sqlalchemy.event.registry
import time:     10612 |      20707 |                       sqlalchemy.event.legacy
import time:     10600 |      31306 |                     sqlalchemy.event.attr
import time:     12380 |      43686 |                   sqlalchemy.event.base
import time:     13376 |      57062 |                 sqlalchemy.event.api
import time:     11252 |      68314 |               sqlalchemy.event
import time:      7495 |       7495 |                     sqlalchemy.log
import time:     13364 |      20859 |                   sqlalchemy.pool.base
import time:     16259 |      37117 |                 sqlalchemy.pool.events
import time:     10654 |      10654 |                   sqlalchemy.util.queue
import time:     10553 |      21207 |                 sqlalchemy.pool.impl
import time:     12917 |      71239 |               sqlalchemy.pool
import time:     10854 |      10854 |                     sqlalchemy.sql.roles
import time:      6578 |       6578 |                     sqlalchemy.inspection
import time:     17785 |      35216 |                   sqlalchemy.sql._typing
import time:     11704 |      11704 |                     sqlalchemy.sql.visitors
import time:     12486 |      12486 |                     sqlalchemy.sql.cache_key
import time:     11157 |      11157 |                       sqlalchemy.sql.operators
import time:     11065 |      22221 |                     sqlalchemy.sql.traversals
import time:     18639 |      65049 |                   sqlalchemy.sql.base
import time:     11792 |      11792 |                     sqlalchemy.sql.coercions
import time:      9028 |       9028 |                           sqlalchemy.sql.annotation
import time:     11061 |      11061 |                               sqlalchemy.sql.type_api
import time:     16622 |      27682 |                             sqlalchemy.sql.elements
import time:      7216 |       7216 |                             sqlalchemy.util.topological
import time:     13575 |      48473 |                           sqlalchemy.sql.ddl
import time:      6483 |       6483 |                                   sqlalchemy.engine._py_processors
import time:      7066 |      13548 |                                 sqlalchemy.engine.processors
